frame.number,frame.time_relative,frame.time_delta,frame.len,ip.proto,ip.version,ip.src,eth.src,ip.dst,eth.dst,mbtcp.modbus.unit_id,tcp.srcport,tcp.dstport,mbtcp.prot_id,mbtcp.trans_id,mbtcp.len,mbtcp.modbus.func_code,mbtcp.modbus.reference_num,mbtcp.modbus.word_cnt,mbtcp.modbus.data
1,0.000000000,0.000000000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,239,6,4,2,1,
2,0.004760000,0.004760000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,239,5,4,,,13:77
3,0.005108000,0.000348000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,240,6,4,0,1,
4,0.014127000,0.009019000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,240,5,4,,,00:70
5,0.014469000,0.000342000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,241,6,4,0,1,
6,0.024130000,0.009661000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,241,5,4,,,00:70
7,0.024412000,0.000282000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,242,6,4,0,1,
8,0.035774000,0.011362000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,242,5,4,,,00:70
9,0.036118000,0.000344000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,243,6,4,0,1,
10,0.044176000,0.008058000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,243,5,4,,,00:70
11,0.044535000,0.000359000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,244,6,4,1,1,
12,0.055748000,0.011213000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,244,5,4,,,00:50
13,0.056054000,0.000306000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,245,6,4,1,1,
14,0.065728000,0.009674000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,245,5,4,,,00:50
15,0.066054000,0.000326000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,246,6,4,3,1,
16,0.076009000,0.009955000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,246,5,4,,,16:70
17,0.076415000,0.000406000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,247,6,4,0,1,
18,0.085661000,0.009246000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,247,5,4,,,00:70
19,0.086017000,0.000356000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,248,6,4,0,1,
20,0.095758000,0.009741000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,248,5,4,,,00:70
21,0.096113000,0.000355000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,249,6,4,0,1,
22,0.105763000,0.009650000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,249,5,4,,,00:70
23,0.106129000,0.000366000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,250,6,4,1,1,
24,0.115780000,0.009651000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,250,5,4,,,00:50
25,0.116143000,0.000363000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,251,6,4,1,1,
26,0.125751000,0.009608000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,251,5,4,,,00:50
27,0.125993000,0.000242000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,252,6,4,1,1,
28,0.135940000,0.009947000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,252,5,4,,,00:50
29,0.136294000,0.000354000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,253,6,4,1,1,
30,0.145637000,0.009343000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,253,5,4,,,00:50
31,0.146003000,0.000366000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,254,6,4,1,1,
32,0.155941000,0.009938000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,254,5,4,,,00:50
33,0.156305000,0.000364000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,255,6,4,1,1,
34,0.165689000,0.009384000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,255,5,4,,,00:50
35,0.330010000,0.164321000,60,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,,1202,502,,,,,,,
36,0.500349000,0.170339000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,0,6,4,2,1,
37,0.504099000,0.003750000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,0,5,4,,,13:77
38,0.504406000,0.000307000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,1,6,4,0,1,
39,0.515684000,0.011278000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,1,5,4,,,00:70
40,0.515961000,0.000277000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,2,6,4,0,1,
41,0.525648000,0.009687000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,2,5,4,,,00:70
42,0.525944000,0.000296000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,3,6,4,0,1,
43,0.535956000,0.010012000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,3,5,4,,,00:70
44,0.536266000,0.000310000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,4,6,4,0,1,
45,0.545680000,0.009414000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,4,5,4,,,00:70
46,0.545973000,0.000293000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,5,6,4,1,1,
47,0.555951000,0.009978000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,5,5,4,,,00:50
48,0.556253000,0.000302000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,6,6,4,1,1,
49,0.565687000,0.009434000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,6,5,4,,,00:50
50,0.565985000,0.000298000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,7,6,4,3,1,
51,0.575775000,0.009790000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,7,5,4,,,16:76
52,0.576048000,0.000273000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,8,6,4,0,1,
53,0.584683000,0.008635000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,8,5,4,,,00:70
54,0.584914000,0.000231000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,9,6,4,0,1,
55,0.594193000,0.009279000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,9,5,4,,,00:70
56,0.594505000,0.000312000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,10,6,4,0,1,
57,0.604184000,0.009679000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,10,5,4,,,00:70
58,0.604490000,0.000306000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,11,6,4,1,1,
59,0.615727000,0.011237000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,11,5,4,,,00:50
60,0.616026000,0.000299000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,12,6,4,1,1,
61,0.625706000,0.009680000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,12,5,4,,,00:50
62,0.626007000,0.000301000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,13,6,4,1,1,
63,0.635995000,0.009988000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,13,5,4,,,00:50
64,0.636305000,0.000310000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,14,6,4,1,1,
65,0.645651000,0.009346000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,14,5,4,,,00:50
66,0.645876000,0.000225000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,15,6,4,1,1,
67,0.655956000,0.010080000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,15,5,4,,,00:50
68,0.656176000,0.000220000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,16,6,4,1,1,
69,0.665645000,0.009469000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,16,5,4,,,00:50
70,0.830476000,0.164831000,60,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,,1202,502,,,,,,,
71,1.000910000,0.170434000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,17,6,4,2,1,
72,1.004070000,0.003160000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,17,5,4,,,13:77
73,1.004365000,0.000295000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,18,6,4,0,1,
74,1.015651000,0.011286000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,18,5,4,,,00:70
75,1.015938000,0.000287000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,19,6,4,0,1,
76,1.025602000,0.009664000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,19,5,4,,,00:70
77,1.025903000,0.000301000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,20,6,4,0,1,
78,1.035950000,0.010047000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,20,5,4,,,00:70
79,1.036242000,0.000292000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,21,6,4,0,1,
80,1.045624000,0.009382000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,21,5,4,,,00:70
81,1.045925000,0.000301000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,22,6,4,1,1,
82,1.056029000,0.010104000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,22,5,4,,,00:50
83,1.056394000,0.000365000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,23,6,4,1,1,
84,1.065660000,0.009266000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,23,5,4,,,00:50
85,1.066019000,0.000359000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,24,6,4,3,1,
86,1.076038000,0.010019000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,24,5,4,,,16:78
87,1.076432000,0.000394000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,25,6,4,0,1,
88,1.085688000,0.009256000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,25,5,4,,,00:70
89,1.086059000,0.000371000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,26,6,4,0,1,
90,1.095908000,0.009849000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,26,5,4,,,00:70
91,1.096259000,0.000351000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,27,6,4,0,1,
92,1.105717000,0.009458000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,27,5,4,,,00:70
93,1.106080000,0.000363000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,28,6,4,1,1,
94,1.115744000,0.009664000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,28,5,4,,,00:54
95,1.116117000,0.000373000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,29,6,4,1,1,
96,1.125752000,0.009635000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,29,5,4,,,00:54
97,1.126111000,0.000359000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,30,6,4,1,1,
98,1.135802000,0.009691000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,30,5,4,,,00:54
99,1.136192000,0.000390000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,31,6,4,1,1,
100,1.145733000,0.009541000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,31,5,4,,,00:54
101,1.146093000,0.000360000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,32,6,4,1,1,
102,1.155713000,0.009620000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,32,5,4,,,00:54
103,1.156071000,0.000358000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,33,6,4,1,1,
104,1.164229000,0.008158000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,33,5,4,,,00:54
105,1.331892000,0.167663000,60,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,,1202,502,,,,,,,
106,1.501484000,0.169592000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,34,6,4,2,1,
107,1.504682000,0.003198000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,34,5,4,,,13:97
108,1.505000000,0.000318000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,35,6,4,0,1,
109,1.514136000,0.009136000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,35,5,4,,,00:70
110,1.514483000,0.000347000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,36,6,4,0,1,
111,1.524126000,0.009643000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,36,5,4,,,00:70
112,1.524364000,0.000238000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,37,6,4,0,1,
113,1.534158000,0.009794000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,37,5,4,,,00:70
114,1.534392000,0.000234000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,38,6,4,0,1,
115,1.544162000,0.009770000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,38,5,4,,,00:70
116,1.544397000,0.000235000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,39,6,4,1,1,
117,1.554204000,0.009807000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,39,5,4,,,00:54
118,1.554489000,0.000285000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,40,6,4,1,1,
119,1.564210000,0.009721000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,40,5,4,,,00:54
120,1.564506000,0.000296000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,41,6,4,3,1,
121,1.574231000,0.009725000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,41,5,4,,,15:79
122,1.574538000,0.000307000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,42,6,4,0,1,
123,1.584187000,0.009649000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,42,5,4,,,00:70
124,1.584498000,0.000311000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,43,6,4,0,1,
125,1.594179000,0.009681000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,43,5,4,,,00:70
126,1.594391000,0.000212000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,44,6,4,0,1,
127,1.605748000,0.011357000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,44,5,4,,,00:70
128,1.606047000,0.000299000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,45,6,4,1,1,
129,1.615772000,0.009725000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,45,5,4,,,00:54
130,1.616090000,0.000318000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,46,6,4,1,1,
131,1.625763000,0.009673000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,46,5,4,,,00:54
132,1.626050000,0.000287000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,47,6,4,1,1,
133,1.635729000,0.009679000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,47,5,4,,,00:54
134,1.635995000,0.000266000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,48,6,4,1,1,
135,1.645782000,0.009787000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,48,5,4,,,00:54
136,1.646047000,0.000265000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,49,6,4,1,1,
137,1.655727000,0.009680000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,49,5,4,,,00:54
138,1.655949000,0.000222000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,50,6,4,1,1,
139,1.665760000,0.009811000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,50,5,4,,,00:54
140,1.832358000,0.166598000,60,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,,1202,502,,,,,,,
141,2.002922000,0.170564000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,51,6,4,2,1,
142,2.014153000,0.011231000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,51,5,4,,,13:ab
143,2.014562000,0.000409000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,52,6,4,0,1,
144,2.025743000,0.011181000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,52,5,4,,,00:70
145,2.028330000,0.002587000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,53,6,4,0,1,
146,2.035770000,0.007440000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,53,5,4,,,00:70
147,2.036123000,0.000353000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,54,6,4,0,1,
148,2.045744000,0.009621000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,54,5,4,,,00:70
149,2.046074000,0.000330000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,55,6,4,0,1,
150,2.055753000,0.009679000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,55,5,4,,,00:70
151,2.056113000,0.000360000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,56,6,4,1,1,
152,2.065712000,0.009599000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,56,5,4,,,00:54
153,2.066076000,0.000364000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,57,6,4,1,1,
154,2.075788000,0.009712000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,57,5,4,,,00:54
155,2.076145000,0.000357000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,58,6,4,3,1,
156,2.084206000,0.008061000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,58,5,4,,,14:cd
157,2.084603000,0.000397000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,59,6,4,0,1,
158,2.094202000,0.009599000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,59,5,4,,,00:70
159,2.094584000,0.000382000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,60,6,4,0,1,
160,2.104206000,0.009622000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,60,5,4,,,00:70
